text,sentiment,label,text_clean
Ko ăn thua. Làm sao mà là số 1 đc. Khi ngày 15/9 lên hỏi bidv chi nhánh chũ lục ngạn bắc giang vay vốn thế chấp sổ đỏ ko dc. Vay qua thẻ lương cũng ko cho vay. Trong khi đấy tao xuống agribank. Vay 100tr 3 hôm có tiền,negative,0,không ăn_thua . làm_sao mà là số 1 đc . khi ngày 15/9 lên hỏi bidv chi_nhánh chũ lục_ngạn bắc_giang vay vốn thế_chấp sổ_đỏ không dc . vay qua thẻ lương cũng không cho vay . trong khi đấy tao xuống agribank . vay 100 tr 3 hôm có tiền
Không có đủ trình độ để đạt được mục tiêu đề ra,neutral,1,không có đủ trình_độ để đạt được mục_tiêu_đề ra
Chúc mừng sự phát triển của BIDV Việt Nam!,positive,2,chúc_mừng sự phát_triển của bidv việt_nam !
"Câu Không có tên, buồn quá! không phù hợp với ngữ điệu trung lập nên cần được chỉnh sửa thành: 'Tên của tôi không có trong danh sách.'",neutral,1,"câu không có tên , buồn quá ! không phù_hợp với ngữ_điệu trung_lập nên cần được chỉnh_sửa thành : ' tên của tôi không có trong danh_sách . '"
trò này không hay và hấp dẫn mà cũng ko công bằng đề nghị VCB tổ chức chương trình ý nghĩa hơn,negative,0,trò này không hay và hấp_dẫn mà cũng không công_bằng đề_nghị vcb tổ_chức chương_trình ý_nghĩa hơn
"Bidv là 1 ngân hàng lớn song atm thì lại quà chậm cải tiến. Tôi thật sự thấy atm của bidv quá tệ, chậm, trừ phí nhiều và ko đồng bộ. Chuyển tiền chỉ nội mạng (cùng ngân hàng bidv). Chấm điểm 3đ",negative,0,"bidv là 1 ngân_hàng lớn song_atm thì lại quà chậm cải_tiến . tôi thật_sự thấy atm của bidv quá tệ , chậm , trừ_phí nhiều và không đồng_bộ . chuyển tiền chỉ nội_mạng ( cùng ngân_hàng bidv ) . chấm điểm 3 đ"
"# tetyeuthuong .. chúc bidv năm mới đc nhju ng bíêt đến.và chúc tập thể bidv năm mới sức khỏe dồi dào,tràn đầy nìêm vui,tấn tài tấn lộc nhé.. hi",positive,2,"tetyeuthuong . chúc bidv năm mới được nhju ng biết đến . và chúc tập_thể bidv năm mới sức khỏe dồi_dào , tràn_đầy nìêm vui , tấn tài tấn lộc nhé . hi"
"xa quá ad ơi :(, đợi dịp khác thôi",neutral,1,"xa quá admin ơi : ( , đợi dịp khác thôi"
"công nhận đấy, mình cũng vừa xuống NH nộp tiền vào tk, đc thông báo là mất phí mình thôi luôn ko nộp nữa. Sao lại có thể đưa ra 1 cái phí vô lý như vậy? chào mời ngta mở tk, chào mời gửi tiền vào, xong bg làm gì cũng đè ra thu tiền. Ngân hàng muốn huy động tiền của dân free, lãi suất thấp nhưng lại muốn tận thu mọi khoản thì hỏi còn ai muốn hợp tác? chưa kể bn ngân hàng khác với rất nhiều ưu đãi hấp dẫn và free thì thử hỏi BIDV sẽ pt ntn đc đây? toàn đi lùi ko",negative,0,"công_nhận đấy , mình cũng vừa xuống ngân_hàng nộp tiền vào tk , được thông_báo là mất_phí mình thôi luôn không nộp nữa . sao lại có_thể đưa ra 1 cái phí vô_lý như_vậy ? chào_mời ngta mở tk , chào_mời gửi tiền vào , xong bg làm gì cũng đè ra thu tiền . ngân_hàng muốn huy_động tiền của dân free , lãi_suất thấp nhưng lại muốn tận_thu mọi khoản thì hỏi còn ai muốn hợp_tác ? chưa kể bn ngân_hàng khác với rất nhiều ưu_đãi hấp_dẫn và free thì thử_hỏi bidv sẽ pt ntn được đây ? toàn đi lùi không"
Cam un nhiu ah,positive,2,cam un nhiu ah
"Mình cũng có câu hỏi giống bạn này. Ad trả lời luôn đi chứ đừng bắt gọi số này số kia, ko nghe máy lòng vòng mệt lắm",negative,0,"mình cũng có câu hỏi giống bạn này . admin trả_lời luôn đi chứ đừng bắt gọi số này số kia , không nghe máy lòng_vòng mệt lắm"
"# Tetyeuthuong . Chúc toàn thể CBCNV BIDV năm mới sức khoẻ, an khang, thịnh vượng",positive,2,"tetyeuthuong . chúc toàn_thể cbcnv bidv năm mới sức_khỏe , an_khang , thịnh_vượng"
"Lúc trước mình phải tới tận chỗ giao dịch,vừa xa lại còn ngồi chờ lâu ơi là lâu",negative,0,"lúc trước mình phải tới tận chỗ giao_dịch , vừa xa lại còn ngồi chờ lâu ơi_là lâu"
