text,sentiment,label,text_clean
#tetyeuthuong chúc BIDV ngày càng phát triển :),positive,2,tetyeuthuong chúc bidv ngày_càng phát_triển :)
"VCB dùng như...mứt, đi rút tiền 10 cây thì 7 cây lỗi, 3 cây còn lại thì toàn tiền lẻ. Đặc biệt là cuối tuần thì chắc cả 10 cây lỗi, như kiểu cố tình găm tiền của khách lại.",negative,0,"vcb dùng như . mứt , đi rút_tiền 10 cây thì 7 cây lỗi , 3 cây còn lại thì toàn tiền_lẻ . đặc_biệt là cuối tuần thì chắc cả 10 cây lỗi , như kiểu cố_tình găm tiền của khách lại ."
Giao dịch viên chi nhánh nào xinh quá :o,positive,2,giao_dịch_viên chi_nhánh nào xinh quá : o
X_60 + Y_10Make Heart luôn ạ <3 Chúc mừng 60 năm BIDV. Hy vọng chặng đường 10 năm tới sẽ thành công và phát triển hơn nữa <3,positive,2,x_60 + y_10make heart luôn ạ_<3 chúc_mừng 60 năm bidv . hy_vọng chặng đường 10 năm tới sẽ thành_công và phát_triển hơn_nữa <3
Thank as nha,positive,2,cảm_ơn as_nha
"Đã sử dụng nhiều ngân hàng nhưng BIDV là ngân hàng có cung cách phục vụ khách hàng yếu kém nhất, chậm nhất. Có mỗi gộp CIF thôi mà 8 tuần không thấy xong, cũng chẳng thấy gọi thông báo, xin lỗi. Gọi đến thì chỉ trỏ hết chỗ nọ chỗ kia. Không biết chi nhánh khác thế nào chứ chi nhánh Cầu Giấy thật đáng thất vọng. Dislike !",negative,0,"đã sử_dụng nhiều ngân_hàng nhưng bidv là ngân_hàng có cung_cách phục_vụ khách_hàng yếu_kém nhất , chậm nhất . có mỗi gộp cif thôi mà 8 tuần không thấy xong , cũng chẳng thấy gọi thông_báo , xin_lỗi . gọi đến thì chỉ_trỏ hết chỗ nọ chỗ kia . không biết chi_nhánh khác thế_nào chứ chi_nhánh cầu giấy thật đáng thất_vọng . dislike !"
"Tuyệt vời, phát hành ngay thẻ trả trước và thẻ tín dụng quốc tế BIDV MU thôi 😎",positive,2,"tuyệt_vời , phát_hành ngay thẻ trả trước và thẻ_tín_dụng quốc_tế bidv mu thôi : smiling_face_with_sunglasses :"
Dà em cảm ơn,positive,2,dà em cảm_ơn
"#Tetyeuthuong Chúc toàn thể cán bộ, anh chị em BIDV nói riêng và tất cả mọi người trên mọi miền tổ quốc nói chung có một cái Tết sum vầy, đầm ấm bên gia đình và người thân, gặt hái nhiều thành công trong năm mới. chúc anh cố vấn all. :-) Tuấn Phan Ly Minh Vuongts",positive,2,"tetyeuthuong chúc toàn_thể cán_bộ , anh_chị_em bidv nói_riêng và tất_cả mọi người trên mọi miền tổ_quốc nói_chung có một cái tết sum_vầy , đầm_ấm bên gia_đình và người_thân , gặt_hái nhiều thành_công trong năm mới . chúc anh cố_vấn all . : - ) tuấn phan_ly_minh vuongts"
"# Tetyeuthuong Chúc toàn thể cán bộ, anh chị em BIDV có một cái tết sum vầy, đầm ấm, hạnh phúc bên gia đình và người thân.",positive,2,"tetyeuthuong chúc toàn_thể cán_bộ , anh_chị_em bidv có một cái tết sum_vầy , đầm_ấm , hạnh_phúc bên gia_đình và người_thân ."
"E là sinh viên, hồi tháng 8 e đươcj Ngân hàng mình mở thẻ miễn phí, thời hạn trả thẻ là  11/9-30/9 nhưng sao trong thời gian ấy e đến địa điểm đã hen để lấy lại ko thấy ạ ?",negative,0,"e là sinh_viên , hồi tháng 8 e_đươcj ngân_hàng mình mở thẻ miễn_phí , thời_hạn trả thẻ là 11/9 - 30/9 nhưng sao trong thời_gian ấy e đến địa_điểm đã hen để lấy lại không thấy ạ ?"
Nhân viên của BIDV giỏi quá ạ,positive,2,nhân_viên của bidv giỏi quá ạ
Phải anh cí tức k. Ngân hàng thì xa chỗ e,negative,0,phải anh cí tức_k . ngân_hàng thì xa chỗ e
Không tin tưởng vào ngân hàng BIDV .,negative,0,không tin_tưởng vào ngân_hàng bidv .
ok thank,positive,2,ok cảm_ơn
"Internet banking lag , chuyển khoản bằng số thẻ thì báo không tìm thấy thông tin ( trong khi hôm trước vừa chuyển được xong vào số thẻ đấy ) . Chuyển bằng số tài khoản thì danh sách chi nhánh ngân hàng khác làm cũng không đầy đủ thì chuyển làm sao được ? App chạy trên điện thoại cũng không tốt . Chả hiểu thuê ai làm hay người của VCB làm ăn cẩu thả .",negative,0,"internet banking lag , chuyển_khoản bằng số thẻ thì báo không tìm thấy thông_tin ( trong khi hôm trước vừa chuyển được xong vào số thẻ đấy ) . chuyển bằng số tài_khoản thì danh_sách chi_nhánh ngân_hàng khác làm cũng không đầy_đủ thì chuyển làm_sao được ?_app chạy trên điện_thoại cũng không tốt . chả hiểu thuê ai làm hay người của vcb làm_ăn cẩu_thả ."
Họ tên :vì văn hạnh Số cmND : 051037243Sdt: 01627068023.   Vui lòng gọi kích hoạt giúp mình nhé cảm ơn bạn,positive,2,họ tên : vì văn_hạnh số cmnd : 051037243 sdt : 01627068023 . vui_lòng gọi kích_hoạt giúp mình nhé cảm_ơn bạn
Công nhận ms bố làm tổng đài bidv làm ăn như cc. Các ngân hàng khác gọi có ng nge. Lúc nào cũng bận,negative,0,công_nhận ms bố làm tổng_đài bidv làm_ăn như cc . các ngân_hàng khác gọi có ng nge . lúc_nào cũng bận
